EMP_NUM,SAL_FROM,SAL_END,SAL_AMOUNT
83332,3/9/2005,3/7/2006,24080
83332,3/8/2004,3/8/2005,23380
83341,7/23/2013, NULL ,43250
83341,7/22/2012,7/22/2013,40050
83341,7/22/2011,7/21/2012,38140
83341,7/23/2010,7/22/2011,35310
83341,7/24/2009,7/22/2010,33630
83341,7/23/2008,7/23/2009,32650
83341,7/23/2007,7/22/2008,31700
83341,7/24/2006,7/23/2007,30190
83341,7/25/2005,7/23/2006,29310
83341,7/24/2004,7/24/2005,28460
83341,7/24/2003,7/23/2004,27630
83341,7/25/2002,7/24/2003,26310
83341,7/26/2001,7/24/2002,25060
83341,7/25/2000,7/25/2001,24330
83341,7/25/1999,7/24/2000,22120
83341,7/26/1998,7/25/1999,21480
83341,7/27/1997,7/25/1998,20460
83341,7/26/1996,7/26/1997,19860
83341,7/26/1995,7/25/1996,19280
83341,7/27/1994,7/26/1995,18720
83341,7/28/1993,7/26/1994,17830
83341,7/27/1992,7/27/1993,17310
83341,7/27/1991,7/26/1992,16490
83341,7/28/1990,7/27/1991,15700
83341,7/29/1989,7/27/1990,14950
83341,7/28/1988,7/28/1989,14510
83347,8/18/2013, NULL ,60200
83347,8/17/2012,8/17/2013,58450
83347,8/17/2011,8/16/2012,55670
83347,8/18/2010,8/17/2011,54050
83347,8/19/2009,8/17/2010,51480
83347,8/18/2008,8/18/2009,49030
83347,8/18/2007,8/17/2008,47600
83347,8/19/2006,8/18/2007,46210
83347,8/20/2005,8/18/2006,42010
83347,8/19/2004,8/19/2005,40790
83347,8/19/2003,8/18/2004,38850
83347,8/20/2002,8/19/2003,35320
83347,8/21/2001,8/19/2002,32110
83347,8/20/2000,8/20/2001,31170
83347,8/20/1999,8/19/2000,30260
83347,8/21/1998,8/20/1999,29380
83347,8/22/1997,8/20/1998,27980
83347,8/21/1996,8/21/1997,27170
83347,8/21/1995,8/20/1996,26380
83347,8/22/1994,8/21/1995,25120
83347,8/23/1993,8/21/1994,24390
83347,8/22/1992,8/22/1993,23230
83347,8/22/1991,8/21/1992,22550
83347,8/23/1990,8/22/1991,21890
83347,8/24/1989,8/22/1990,21250
83347,8/23/1988,8/23/1989,20630
83347,8/23/1987,8/22/1988,19650
83347,8/24/1986,8/23/1987,17860
83347,8/25/1985,8/23/1986,17010
83349,1/1/2014, NULL ,62650
83349,12/31/2012,12/31/2013,60830
83349,12/31/2011,12/30/2012,57930
83349,1/1/2011,12/31/2011,55170
83349,1/2/2010,12/31/2010,53560
83349,1/1/2009,1/1/2010,52000
83349,1/1/2008,12/31/2008,49520
83349,1/2/2007,1/1/2008,48080
83349,1/3/2006,1/1/2007,46680
83349,1/2/2005,1/2/2006,44460
83349,1/2/2004,1/1/2005,43170
83349,1/3/2003,1/2/2004,41110
83349,1/4/2002,1/2/2003,38060
83349,1/3/2001,1/3/2002,36950
83349,1/3/2000,1/2/2001,35870
83349,1/4/1999,1/3/2000,34160
83349,1/5/1998,1/3/1999,32530
83349,1/4/1997,1/4/1998,30120
83349,1/4/1996,1/3/1997,27380
83349,1/5/1995,1/4/1996,26580
83349,1/6/1994,1/4/1995,25310
83349,1/5/1993,1/5/1994,24100
83349,1/5/1992,1/4/1993,22950
83349,1/6/1991,1/5/1992,21860
83349,1/7/1990,1/5/1991,21220
83359,10/17/2013, NULL ,72240
83359,10/16/2012,10/16/2013,68800
83359,10/16/2011,10/15/2012,65520
83359,10/17/2010,10/16/2011,63610
83359,10/18/2009,10/16/2010,60580
83359,10/17/2008,10/17/2009,56090
83359,10/17/2007,10/16/2008,50990
83359,10/18/2006,10/17/2007,48560
83359,10/19/2005,10/17/2006,46250
83359,10/18/2004,10/18/2005,44900
83359,10/18/2003,10/17/2004,41570
83359,10/19/2002,10/18/2003,40360
83359,10/20/2001,10/18/2002,39180
83359,10/19/2000,10/19/2001,38040
83359,10/19/1999,10/18/2000,36930
83359,10/20/1998,10/19/1999,35170
83359,10/21/1997,10/19/1998,34150
83359,10/20/1996,10/20/1997,31050
83359,10/20/1995,10/19/1996,28750
83359,10/21/1994,10/20/1995,27910
83359,10/22/1993,10/20/1994,25370
83366,8/12/2013, NULL ,43500
83366,8/11/2012,8/11/2013,42230
83366,8/11/2011,8/10/2012,41000
83366,8/12/2010,8/11/2011,37960
83366,8/13/2009,8/11/2010,34510
83366,8/12/2008,8/12/2009,32870
83366,8/12/2007,8/11/2008,31910
83366,8/13/2006,8/12/2007,30390
83366,8/14/2005,8/12/2006,28140
83366,8/13/2004,8/13/2005,26800
83366,8/13/2003,8/12/2004,25520
83366,8/14/2002,8/13/2003,23200
83371,8/4/2013, NULL ,36250
83371,8/3/2012,8/3/2013,34520
83371,8/3/2011,8/2/2012,31380
83371,8/4/2010,8/3/2011,30470
83371,8/5/2009,8/3/2010,29020
83371,8/4/2008,8/4/2009,27640
83371,8/4/2007,8/3/2008,26830
83371,8/5/2006,8/4/2007,26050
83371,8/6/2005,8/4/2006,24810
83371,8/5/2004,8/5/2005,24090
83371,8/5/2003,8/4/2004,22940
83371,8/6/2002,8/5/2003,21850
83371,8/7/2001,8/5/2002,20810
83371,8/6/2000,8/6/2001,20200
83371,8/6/1999,8/5/2000,19610
83371,8/7/1998,8/6/1999,18680
83371,8/8/1997,8/6/1998,18140
83372,10/24/2013, NULL ,64350
83372,10/23/2012,10/23/2013,62480
83372,10/23/2011,10/22/2012,60660
83372,10/24/2010,10/23/2011,56170
83372,10/25/2009,10/23/2010,54530
83372,10/24/2008,10/24/2009,51930
83372,10/24/2007,10/23/2008,50420
83372,10/25/2006,10/24/2007,48950
83372,10/26/2005,10/24/2006,47520
83372,10/25/2004,10/25/2005,45260
83372,10/25/2003,10/24/2004,41910
83372,10/26/2002,10/25/2003,39910
83372,10/27/2001,10/25/2002,38010
83372,10/26/2000,10/26/2001,36900
83372,10/26/1999,10/25/2000,34170
83372,10/27/1998,10/26/1999,32540
83372,10/28/1997,10/26/1998,31590
83372,10/27/1996,10/27/1997,30670
83372,10/27/1995,10/26/1996,27880
83372,10/28/1994,10/27/1995,27070
83372,10/29/1993,10/27/1994,25780
83374,10/3/2013, NULL ,25000
83374,10/2/2012,10/2/2013,23810
83374,10/2/2011,10/1/2012,21650
83374,10/3/2010,10/2/2011,21020
83374,10/4/2009,10/2/2010,20020
83374,10/3/2008,10/3/2009,19440
83374,10/3/2007,10/2/2008,18870
83374,10/4/2006,10/3/2007,18320
83374,10/5/2005,10/3/2006,17790
83374,10/4/2004,10/4/2005,16940
83378,12/31/2013, NULL ,43800
83378,12/30/2012,12/30/2013,41710
83378,12/30/2011,12/29/2012,40500
83378,12/31/2010,12/30/2011,39320
83378,1/1/2010,12/30/2010,37450
83378,12/31/2008,12/31/2009,34050
83382,3/22/2013, NULL ,43250
83382,3/21/2012,3/21/2013,41990
83382,3/21/2011,3/20/2012,40770
83382,3/22/2010,3/21/2011,38830
83382,3/23/2009,3/21/2010,35950
83382,3/22/2008,3/22/2009,34240
83382,3/22/2007,3/21/2008,33240
83382,3/23/2006,3/22/2007,31660
83382,3/24/2005,3/22/2006,30740
83382,3/23/2004,3/23/2005,29840
83382,3/23/2003,3/22/2004,28420
83382,3/24/2002,3/23/2003,27070
83382,3/25/2001,3/23/2002,26280
83382,3/24/2000,3/24/2001,24330
83382,3/24/1999,3/23/2000,23620
83382,3/25/1998,3/24/1999,22930
83382,3/26/1997,3/24/1998,22260
83382,3/25/1996,3/25/1997,21200
83382,3/25/1995,3/24/1996,20580
83382,3/26/1994,3/25/1995,19980
83382,3/27/1993,3/25/1994,19030
83382,3/26/1992,3/26/1993,18120
83382,3/26/1991,3/25/1992,17260
83382,3/27/1990,3/26/1991,16760
83382,3/28/1989,3/26/1990,16270
83382,3/27/1988,3/27/1989,15500
83382,3/27/1987,3/26/1988,14760
83382,3/28/1986,3/27/1987,14330
83382,3/29/1985,3/27/1986,13910
83382,3/28/1984,3/28/1985,13250
83382,3/28/1983,3/27/1984,12270
83385,11/21/2013, NULL ,39000
83385,11/20/2012,11/20/2013,37860
83385,11/20/2011,11/19/2012,35060
83385,11/21/2010,11/20/2011,34040
83385,11/22/2009,11/20/2010,32420
83385,11/21/2008,11/21/2009,30880
83385,11/21/2007,11/20/2008,29410
83385,11/22/2006,11/21/2007,28550
83385,11/23/2005,11/21/2006,27720
83385,11/22/2004,11/22/2005,26400
83385,11/22/2003,11/21/2004,25140
83385,11/23/2002,11/22/2003,24410
83385,11/24/2001,11/22/2002,23250
83385,11/23/2000,11/23/2001,22570
83385,11/23/1999,11/22/2000,21910
83385,11/24/1998,11/23/1999,20870
83385,11/25/1997,11/23/1998,20260
83385,11/24/1996,11/24/1997,19300
83385,11/24/1995,11/23/1996,17870
83385,11/25/1994,11/24/1995,17350
83398,8/13/2013, NULL ,37750
83398,8/12/2012,8/12/2013,34950
83403,11/28/2013, NULL ,43250
83403,11/27/2012,11/27/2013,41190
83403,11/27/2011,11/26/2012,39990
83403,11/28/2010,11/27/2011,38830
83403,11/29/2009,11/27/2010,35300
83403,11/28/2008,11/28/2009,33620
83403,11/28/2007,11/27/2008,32640
83403,11/29/2006,11/28/2007,31690
83403,11/30/2005,11/28/2006,30770
83403,11/29/2004,11/29/2005,29300
83403,11/29/2003,11/28/2004,28450
83403,11/30/2002,11/29/2003,26340
83403,12/1/2001,11/29/2002,25090
83403,11/30/2000,11/30/2001,24360
83403,11/30/1999,11/29/2000,23200
83403,12/1/1998,11/30/1999,22520
83403,12/2/1997,11/30/1998,21450
83403,12/1/1996,12/1/1997,20430
83403,12/1/1995,11/30/1996,19830
83403,12/2/1994,12/1/1995,19250
83403,12/3/1993,12/1/1994,18690
83403,12/2/1992,12/2/1993,17800
83403,12/2/1991,12/1/1992,17280
83403,12/3/1990,12/2/1991,16780
83403,12/4/1989,12/2/1990,15980
83403,12/3/1988,12/3/1989,15510
83403,12/3/1987,12/2/1988,14100
83403,12/4/1986,12/3/1987,13690
83403,12/5/1985,12/3/1986,13290
83403,12/4/1984,12/4/1985,12660
83403,12/4/1983,12/3/1984,12290
83403,12/5/1982,12/4/1983,11700
83404,4/8/2012,4/8/2013,47330
83404,4/8/2011,4/7/2012,45950
83404,4/9/2010,4/8/2011,43760
83404,4/10/2009,4/8/2010,42490
83404,4/9/2008,4/9/2009,39340
83404,4/9/2007,4/8/2008,38190
83404,4/10/2006,4/9/2007,37080
83404,4/11/2005,4/9/2006,36000
83404,4/10/2004,4/10/2005,34950
83404,4/10/2003,4/9/2004,32360
83404,4/9/2013, NULL ,48750
83411,2/9/2013, NULL ,38080
83411,2/9/2012,2/8/2013,36970
83411,2/10/2011,2/9/2012,35210
83411,2/11/2010,2/9/2011,32600
83411,2/10/2009,2/10/2010,31650
83411,2/10/2008,2/9/2009,29310
83411,2/11/2007,2/10/2008,28460
83411,2/12/2006,2/10/2007,27100
83411,2/11/2005,2/11/2006,26310
83411,2/11/2004,2/10/2005,25540
83411,2/12/2003,2/11/2004,24320
83411,2/13/2002,2/11/2003,23160
83411,2/12/2001,2/12/2002,22060
83411,2/12/2000,2/11/2001,21420
83411,2/13/1999,2/12/2000,19830
83411,2/14/1998,2/12/1999,19250
83411,2/13/1997,2/13/1998,18690
83411,2/13/1996,2/12/1997,18150
83411,2/14/1995,2/13/1996,17290
83411,2/15/1994,2/13/1995,16790
83411,2/14/1993,2/14/1994,16300
83411,2/14/1992,2/13/1993,15830
83411,2/15/1991,2/14/1992,15080
83411,2/16/1990,2/14/1991,14360
83411,2/15/1989,2/15/1990,13940
83411,2/15/1988,2/14/1989,12910
83411,2/16/1987,2/15/1988,11950
83411,2/17/1986,2/15/1987,11600
83411,2/16/1985,2/16/1986,11050
83411,2/16/1984,2/15/1985,10730
83411,2/17/1983,2/16/1984,10420
83411,2/18/1982,2/16/1983,10120
83411,2/17/1981,2/17/1982,9830
83411,2/17/1980,2/16/1981,9540
83411,2/18/1979,2/17/1980,9260
83411,2/19/1978,2/17/1979,8990
83413,5/30/2013, NULL ,76360
83413,5/29/2012,5/29/2013,72720
83413,5/29/2011,5/28/2012,69260
83413,5/30/2010,5/29/2011,67240
83413,5/31/2009,5/29/2010,64040
83413,5/30/2008,5/30/2009,62170
83413,5/30/2007,5/29/2008,60360
83413,5/31/2006,5/30/2007,58600
83413,6/1/2005,5/30/2006,55810
83413,5/31/2004,5/31/2005,54180
83413,5/31/2003,5/30/2004,52600
83413,6/1/2002,5/31/2003,51070
83413,6/2/2001,5/31/2002,48640
83413,6/1/2000,6/1/2001,47220
83413,6/1/1999,5/31/2000,43720
83413,6/2/1998,6/1/1999,42450
83413,6/3/1997,6/1/1998,41210
83413,6/2/1996,6/2/1997,40010
83413,6/2/1995,6/1/1996,38840
83413,6/3/1994,6/2/1995,36990
83413,6/4/1993,6/2/1994,34250
83413,6/3/1992,6/3/1993,32620
83413,6/3/1991,6/2/1992,31070
83413,6/4/1990,6/3/1991,30170
83413,6/5/1989,6/3/1990,29290
83413,6/4/1988,6/4/1989,26630
83413,6/4/1987,6/3/1988,25850
83413,6/5/1986,6/4/1987,25100
83413,6/6/1985,6/4/1986,23900
83413,6/5/1984,6/5/1985,23200
83413,6/5/1983,6/4/1984,22520
83413,6/6/1982,6/5/1983,21860
83413,6/7/1981,6/5/1982,20820
83413,6/6/1980,6/6/1981,20210
83413,6/6/1979,6/5/1980,19250
83415,4/12/2013, NULL ,42750
83415,4/11/2012,4/11/2013,41500
83415,4/11/2011,4/10/2012,40290
83415,4/12/2010,4/11/2011,39120
83415,4/13/2009,4/11/2010,35560
83415,4/12/2008,4/12/2009,32930
83419,10/18/2013, NULL ,47250
83419,10/17/2012,10/17/2013,45870
83419,10/17/2011,10/16/2012,42470
83419,10/18/2010,10/17/2011,38610
83419,10/19/2009,10/17/2010,37490
83419,10/18/2008,10/18/2009,34710
83419,10/18/2007,10/17/2008,33060
83419,10/19/2006,10/18/2007,31490
83419,10/20/2005,10/18/2006,30570
83419,10/19/2004,10/19/2005,29110
83419,10/19/2003,10/18/2004,27720
83419,10/20/2002,10/19/2003,25670
83419,10/21/2001,10/19/2002,24450
83419,10/20/2000,10/20/2001,23740
83419,10/20/1999,10/19/2000,23050
83419,10/21/1998,10/20/1999,21950
83419,10/22/1997,10/20/1998,21310
83419,10/21/1996,10/21/1997,20690
83419,10/21/1995,10/20/1996,20090
83419,10/22/1994,10/21/1995,18260
83419,10/23/1993,10/21/1994,16910
83419,10/22/1992,10/22/1993,16420
83419,10/22/1991,10/21/1992,15940
83423,1/8/2014, NULL ,54900
83423,1/7/2013,1/7/2014,53300
83423,1/7/2012,1/6/2013,50760
83423,1/8/2011,1/7/2012,49280
83423,1/9/2010,1/7/2011,47840
83423,1/8/2009,1/8/2010,45560
83423,1/8/2008,1/7/2009,42190
83423,1/9/2007,1/8/2008,40180
83423,1/10/2006,1/8/2007,38270
83423,1/9/2005,1/9/2006,37160
83423,1/9/2004,1/8/2005,36080
83423,1/10/2003,1/9/2004,34360
83423,1/11/2002,1/9/2003,33360
83423,1/10/2001,1/10/2002,32390
83423,1/10/2000,1/9/2001,30850
83423,1/11/1999,1/10/2000,29950
83423,1/12/1998,1/10/1999,29080
83423,1/11/1997,1/11/1998,27700
83423,1/11/1996,1/10/1997,26890
83428,10/7/2013, NULL ,31750
83428,10/6/2012,10/6/2013,30830
83428,10/6/2011,10/5/2012,28550
83428,10/7/2010,10/6/2011,27720
83428,10/8/2009,10/6/2010,26400
83428,10/7/2008,10/7/2009,24440
83428,10/7/2007,10/6/2008,23730
83428,10/8/2006,10/7/2007,23040
83428,10/9/2005,10/7/2006,22370
83428,10/8/2004,10/8/2005,20340
83428,10/8/2003,10/7/2004,18830
83428,10/9/2002,10/8/2003,18280
83428,10/10/2001,10/8/2002,17750
83428,10/9/2000,10/9/2001,16900
83428,10/9/1999,10/8/2000,16410
83428,10/10/1998,10/9/1999,15630
83428,10/11/1997,10/9/1998,15170
83428,10/10/1996,10/10/1997,14730
83428,10/10/1995,10/9/1996,14300
83428,10/11/1994,10/10/1995,13880
83428,10/12/1993,10/10/1994,13220
83428,10/11/1992,10/11/1993,12830
83428,10/11/1991,10/10/1992,12220
83428,10/12/1990,10/11/1991,11860
83428,10/13/1989,10/11/1990,11510
83428,10/12/1988,10/12/1989,10960
83428,10/12/1987,10/11/1988,10640
83432,9/6/2013, NULL ,62000
83432,9/5/2012,9/5/2013,59050
83432,9/5/2011,9/4/2012,57330
83432,9/6/2010,9/5/2011,54600
83432,9/7/2009,9/5/2010,53010
83432,9/6/2008,9/6/2009,50490
83432,9/6/2007,9/5/2008,49020
83432,9/7/2006,9/6/2007,47590
83432,9/8/2005,9/6/2006,45320
83432,9/7/2004,9/7/2005,44000
83432,9/7/2003,9/6/2004,42720
83432,9/8/2002,9/7/2003,40690
83432,9/9/2001,9/7/2002,39500
83432,9/8/2000,9/8/2001,37620
83432,9/8/1999,9/7/2000,36520
83432,9/9/1998,9/8/1999,34780
83432,9/10/1997,9/8/1998,31620
83432,9/9/1996,9/9/1997,30700
83432,9/9/1995,9/8/1996,29240
83432,9/10/1994,9/9/1995,28390
83432,9/11/1993,9/9/1994,27040
83432,9/10/1992,9/10/1993,26250
83432,9/10/1991,9/9/1992,25000
83432,9/11/1990,9/10/1991,24270
83432,9/12/1989,9/10/1990,23560
83432,9/11/1988,9/11/1989,22870
83432,9/11/1987,9/10/1988,21780
83432,9/12/1986,9/11/1987,21150
83432,9/13/1985,9/11/1986,20530
83433,5/24/2012,5/24/2013,66860
83433,5/24/2011,5/23/2012,63680
83433,5/25/2010,5/24/2011,58960
83433,5/26/2009,5/24/2010,56150
83433,5/25/2008,5/25/2009,53480
83433,5/25/2007,5/24/2008,51920
83433,5/26/2006,5/25/2007,50410
83433,5/27/2005,5/25/2006,46680
83433,5/26/2004,5/26/2005,45320
83433,5/26/2003,5/25/2004,44000
83433,5/27/2002,5/26/2003,42720
83433,5/28/2001,5/26/2002,38840
83433,5/27/2000,5/27/2001,37710
83433,5/27/1999,5/26/2000,36610
83433,5/28/1998,5/27/1999,34870
83433,5/29/1997,5/27/1998,33210
83433,5/28/1996,5/28/1997,31630
83433,5/28/1995,5/27/1996,30120
83433,5/29/1994,5/28/1995,28690
83433,5/30/1993,5/28/1994,27850
83433,5/25/2013, NULL ,68870
83434,7/25/2013, NULL ,45250
83434,7/24/2012,7/24/2013,43930
83434,7/24/2011,7/23/2012,42650
83434,7/25/2010,7/24/2011,40620
83437,7/27/2013, NULL ,83700
83437,7/26/2012,7/26/2013,79710
83437,7/26/2011,7/25/2012,77390
83437,7/27/2010,7/26/2011,75140
83437,7/28/2009,7/26/2010,72950
83437,7/27/2008,7/27/2009,70830
83437,7/27/2007,7/26/2008,68770
83437,7/28/2006,7/27/2007,66770
83437,7/29/2005,7/27/2006,64830
83437,7/28/2004,7/28/2005,61740
83437,7/28/2003,7/27/2004,58800
83437,7/29/2002,7/28/2003,53450
83445,3/9/2013, NULL ,115320
83445,3/8/2012,3/8/2013,109830
83445,3/8/2011,3/7/2012,104600
83445,3/9/2010,3/8/2011,95090
83445,3/10/2009,3/8/2010,92320
83445,3/9/2008,3/9/2009,89630
83445,3/9/2007,3/8/2008,87020
83445,3/10/2006,3/9/2007,84490
83445,3/11/2005,3/9/2006,80470
83445,3/10/2004,3/10/2005,76640
83445,3/10/2003,3/9/2004,72990
83445,3/11/2002,3/10/2003,67580
83445,3/12/2001,3/10/2002,65610
83445,3/11/2000,3/11/2001,63700
83445,3/11/1999,3/10/2000,61840
83445,3/12/1998,3/11/1999,60040
83445,3/13/1997,3/11/1998,58290
83445,3/12/1996,3/12/1997,56590
83445,3/12/1995,3/11/1996,53900
83445,3/13/1994,3/12/1995,51330
83445,3/14/1993,3/12/1994,48890
83445,3/13/1992,3/13/1993,46560
83446,11/9/2013, NULL ,46250
83446,11/9/2010,11/8/2011,38840
83446,11/10/2009,11/8/2010,37710
83446,11/9/2008,11/9/2009,34280
83446,11/9/2007,11/8/2008,32650
83446,11/10/2006,11/9/2007,31700
83446,11/11/2005,11/9/2006,29350
83446,11/10/2004,11/10/2005,28500
83446,11/10/2003,11/9/2004,27670
83446,11/11/2002,11/10/2003,26860
83446,11/12/2001,11/10/2002,26080
83446,11/11/2000,11/11/2001,25320
83446,11/11/1999,11/10/2000,24580
83446,11/12/1998,11/11/1999,23860
83446,11/13/1997,11/11/1998,22720
83446,11/12/1996,11/12/1997,21640
83446,11/12/1995,11/11/1996,20610
83446,11/13/1994,11/12/1995,20010
83446,11/8/2012,11/8/2013,44050
83446,11/8/2011,11/7/2012,41950
83451,9/9/2013, NULL ,44250
83451,9/8/2012,9/8/2013,42140
83451,9/8/2011,9/7/2012,40910
83451,9/9/2010,9/8/2011,39720
83451,9/10/2009,9/8/2010,37830
83451,9/9/2008,9/9/2009,36730
83451,9/9/2007,9/8/2008,34980
83451,9/10/2006,9/9/2007,33960
83451,9/11/2005,9/9/2006,31440
83451,9/10/2004,9/10/2005,30520
83451,9/10/2003,9/9/2004,27750
83451,9/11/2002,9/10/2003,25230
83451,9/12/2001,9/10/2002,22940
83451,9/11/2000,9/11/2001,22270
83451,9/11/1999,9/10/2000,21620
83451,9/12/1998,9/11/1999,20590
83451,9/13/1997,9/11/1998,19610
83451,9/12/1996,9/12/1997,18680
83451,9/12/1995,9/11/1996,17790
83451,9/13/1994,9/12/1995,16940
83451,9/14/1993,9/12/1994,16450
83451,9/13/1992,9/13/1993,15230
83451,9/13/1991,9/12/1992,14790
83451,9/14/1990,9/13/1991,14360
83451,9/15/1989,9/13/1990,13940
83451,9/14/1988,9/14/1989,13530
83451,9/14/1987,9/13/1988,13140
83451,9/15/1986,9/14/1987,12170
83451,9/16/1985,9/14/1986,11270
83451,9/15/1984,9/15/1985,10440
83453,5/30/2013, NULL ,66240
83453,5/29/2012,5/29/2013,64310
83453,5/29/2011,5/28/2012,59550
83453,5/30/2010,5/29/2011,57820
83453,5/31/2009,5/29/2010,56140
83453,5/30/2008,5/30/2009,53470
83453,5/30/2007,5/29/2008,48610
83453,5/31/2006,5/30/2007,45010
83453,6/1/2005,5/30/2006,42870
83453,5/31/2004,5/31/2005,41620
83453,5/31/2003,5/30/2004,40410
83453,6/1/2002,5/31/2003,37420
83453,6/2/2001,5/31/2002,35640
83453,6/1/2000,6/1/2001,33940
83453,6/1/1999,5/31/2000,32950
83453,6/2/1998,6/1/1999,31990
83453,6/3/1997,6/1/1998,31060
83465,12/15/2013, NULL ,39000
83476,3/30/2013, NULL ,68080
83476,3/29/2012,3/29/2013,66100
83476,3/29/2011,3/28/2012,64170
83476,3/30/2010,3/29/2011,61110
83476,3/31/2009,3/29/2010,59330
83476,3/30/2008,3/30/2009,53940
83476,3/30/2007,3/29/2008,51370
83476,3/31/2006,3/30/2007,47560
83476,4/1/2005,3/30/2006,45300
83476,3/31/2004,3/31/2005,43980
83476,3/31/2003,3/30/2004,42700
83476,4/1/2002,3/31/2003,41460
83476,4/2/2001,3/31/2002,39490
83476,4/1/2000,4/1/2001,36560
83476,4/1/1999,3/31/2000,33850
83476,4/2/1998,4/1/1999,32240
83476,4/3/1997,4/1/1998,30700
83476,4/2/1996,4/2/1997,29810
83476,4/2/1995,4/1/1996,28390
83476,4/3/1994,4/2/1995,27040
83476,4/4/1993,4/2/1994,25750
83476,4/3/1992,4/3/1993,24520
